countryName;EPRTRSectorCode;eprtrSectorName;EPRTRAnnexIMainActivityCode;EPRTRAnnexIMainActivityLabel;FacilityInspireID;facilityName;facilityNameConfidentialityReason;Longitude;Latitude;addressConfidentialityReason;City;targetRelease;pollutant;releasesConfidentialityReason;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Denmark;;;;;DK.CAED/000098898.FACILITY;A/S Østbirk Bygningsindustri;;8,971879826;55,75527356;;Grindsted;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;189,1;226,9;;
Denmark;;;;;DK.CAED/000098898.FACILITY;A/S Østbirk Bygningsindustri;;8,971879826;55,75527356;;Grindsted;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;38,24;46,6;;
Denmark;;;;;DK.CAED/000098898.FACILITY;A/S Østbirk Bygninsindustri;;8,971879826;55,75527356;;Grindsted;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;;;348095;426798
Denmark;;;;;DK.CAED/000098898.FACILITY;A/S Østbirk Bygninsindustri;;8,971879826;55,75527356;;Grindsted;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;;;232,1;224
Denmark;;;;;DK.CAED/000098898.FACILITY;A/S Østbirk Bygninsindustri;;8,971879826;55,75527356;;Grindsted;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;;;32,3;31,1
Denmark;;;;;DK.CAED/000101311.FACILITY;Faxe Kalk - Industrikalkfabrikken;;12,16185193;55,21486536;;Faxe Ladeplads;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;3887626;3758251;4251283;4870272
Denmark;;;;;DK.CAED/000101311.FACILITY;Faxe Kalk - Industrikalkfabrikken;;12,16185193;55,21486536;;Faxe Ladeplads;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;4183;3959;4544;5144
Denmark;;;;;DK.CAED/000101311.FACILITY;Faxe Kalk - Industrikalkfabrikken;;12,16185193;55,21486536;;Faxe Ladeplads;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;676;571;651;700
Denmark;;;;;DK.CAED/000105146.FACILITY;Esben Wulff Andersen;;9,980379366;56,81712829;;Skørping;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;11040,29
Denmark;;;;;DK.CAED/000105299.FACILITY;Strandagergaard;;11,39907267;54,87357716;;Stokkemarke;AIR;Ammonia (NH3);;;;;;;;;;;;18400;24638,01953;24369;17492;23006,781
Denmark;;;;;DK.CAED/000106060.FACILITY;Marslund A/S;;8,524691664;56,51302983;;Struer;AIR;Ammonia (NH3);;;;;;;;;;;;;10082,75879;10272;;
Denmark;;;;;DK.CAED/000106866.FACILITY;Højvangcentralen;;9,83490852;56,97438698;;Svenstrup J.;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;;;;355168,18
Denmark;;;;;DK.CAED/000106866.FACILITY;Højvangcentralen;;9,83490852;56,97438698;;Svenstrup J.;AIR;Fine particulate matter (PM2.5);;;;;;;;;;;;;;;;23,97
Denmark;;;;;DK.CAED/000106866.FACILITY;Højvangcentralen;;9,83490852;56,97438698;;Svenstrup J.;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;;;;249,24
Denmark;;;;;DK.CAED/000106866.FACILITY;Højvangcentralen;;9,83490852;56,97438698;;Svenstrup J.;AIR;Nitrous oxide (N2O);;;;;;;;;;;;;;;;2,88
Denmark;;;;;DK.CAED/000106866.FACILITY;Højvangcentralen;;9,83490852;56,97438698;;Svenstrup J.;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;;;;110,24
Denmark;;;;;DK.CAED/000107100.FACILITY;SPRINGKILDE ÆG P/S;;9,946251173;55,9150598;;Horsens;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;24633,73
Denmark;;;;;DK.CAED/000107100.FACILITY;SPRINGKILDE ÆG P/S:;;9,946251173;55,9150598;;Horsens;AIR;Ammonia (NH3);;;;;;;;;;;;23400;21742,69922;23273;24447;
Denmark;;;;;DK.CAED/000108216.FACILITY;Johannes Kaasgaard;;8,671261786;56,01856759;;Skjern;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;12934,8
Denmark;;;;;DK.CAED/000110214.FACILITY;DANHATCH Denmark A/S m.fl. ;;9,655682487;54,86213416;;Broager;AIR;Ammonia (NH3);;;;;;;;;;;;;19136,61328;;;
Denmark;;;;;DK.CAED/000111200.FACILITY;Genbrugsplads Øst;;9,99404436;57,28361675;;Brønderslev;AIR;Methane (CH4);;;;;;;;;;;;;;306570;314577;318540
Denmark;;;;;DK.CAED/000112676.FACILITY;Albert  Damgaard;;9,185157881;56,89891214;;Ranum;AIR;Ammonia (NH3);;;;;;;;;;;;13600;;;;
Denmark;;;;;DK.CAED/000176486.FACILITY;Hans Barsøe Bram m.fl.;;9,593180611;55,23219135;;Haderslev;AIR;Ammonia (NH3);;;;;;;;;;;;10700;;;;22404,49
Denmark;;;;;DK.CAED/000177590.FACILITY;CTR I/S;;12,52021377;55,68294907;;Kastrup;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;3133050,369;;;
Denmark;;;;;DK.CAED/000177590.FACILITY;CTR I/S;;12,52021377;55,68294907;;Kastrup;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;2070;;;
Denmark;;;;;DK.CAED/000177590.FACILITY;CTR I/S;;12,52021377;55,68294907;;Kastrup;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;990;;;
Denmark;;;;;DK.CAED/000178103.FACILITY;Rokkedahl Landbrug A/S;;9,336303383;56,9904163;;Løgstør;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;12958,555
Denmark;;;;;DK.CAED/000179990.FACILITY;Rokkedahl Landbrug A/S;;9,475948427;56,80807053;;Års;AIR;Ammonia (NH3);;;;;;;;;;;;;;;;14290,014
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Equinor Refining Denmark A/S;;11,1036079;55,65493036;;Kalundborg;AIR;Carbon dioxide (CO2);;;;;;;;;;;;;;540361000;516928000;534231000
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Equinor Refining Denmark A/S;;11,1036079;55,65493036;;Kalundborg;AIR;Methane (CH4);;;;;;;;;;;;;;2090000;2090000;2090000
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Equinor Refining Denmark A/S;;11,1036079;55,65493036;;Kalundborg;AIR;Nitrogen oxides (NOX);;;;;;;;;;;;;;449000;454000;478000
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Equinor Refining Denmark A/S;;11,1036079;55,65493036;;Kalundborg;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;;;;;;;4792000;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Equinor Refining Denmark A/S;;11,1036079;55,65493036;;Kalundborg;AIR;Sulphur oxides (SOX);;;;;;;;;;;;;;175000;206000;190000
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,65423591;;Kalundborg;AIR;Carbon dioxide (CO2);;;;;;;;;;;431000000;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,65423591;;Kalundborg;AIR;Methane (CH4);;;;;;;;;;;2090000;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,65423591;;Kalundborg;AIR;Nitrogen oxides (NOX);;;;;;;;;;;338000;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,65423591;;Kalundborg;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;;;;4790000;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,6542359;;Kalundborg;AIR;Carbon dioxide (CO2);;;;;;475000000;520000000;537000000;518000000;554000000;;544000000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,6542359;;Kalundborg;AIR;Methane (CH4);;;;;;2090000;2090000;2090000;2090000;2090000;;2090000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,6542359;;Kalundborg;AIR;Nitrogen oxides (NOX);;;;;;517000;566000;577000;559000;435000;;428000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,6542359;;Kalundborg;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;;;4790000;4790000;4790000;;4790000;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,0970341;55,6542359;;Kalundborg;AIR;Sulphur oxides (SOX);;;;;;358000;;171000;386000;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Carbon dioxide (CO2);;;;;492000000;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Nitrogen oxides (NOX);;;;;542000;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Sulphur oxides (SOX);;;;;302000;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Carbon dioxide (CO2);;487000000;498000000;;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Methane (CH4);;2090000;;;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Nitrogen oxides (NOX);;531000;548000;;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Non-methane volatile organic compounds (NMVOC);;4790000;;;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000105244.FACILITY;Statoil Refining Denmark A/S;;11,09927897;55,65044068;;Kalundborg;AIR;Sulphur oxides (SOX);;623000;386000;;;;;;;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,748466911;55,58978046;;Fredericia;AIR;Carbon dioxide (CO2);;;;;;380000000;429000000;393000000;425000000;437000000;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,748466911;55,58978046;;Fredericia;AIR;Methane (CH4);;;;;;;;111000;114000;;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,748466911;55,58978046;;Fredericia;AIR;Nitrogen oxides (NOX);;;;;;937000;964000;673000;699000;728000;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,748466911;55,58978046;;Fredericia;AIR;Non-methane volatile organic compounds (NMVOC);;;;;;1300000;1370000;1400000;1450000;1380000;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,748466911;55,58978046;;Fredericia;AIR;Particulate matter (PM10);;;;;;72000;82000;118000;119000;117000;;;;;;
Denmark;1;Energy sector;1(a);Mineral oil and gas refineries;DK.CAED/000112739.FACILITY;A/S Dansk Shell;;9,748466911;55,58978046;;Fredericia;AIR;Sulphur oxides (SOX);;;;;;1380000;1220000;804000;570000;602000;;;;;;
